requirement_id,role,department,requirement_text,mandatory,priority,due_stage,source_document_id,source_section_id,competency,assessment_requirement
R001,All Roles,Company-wide,Read and acknowledge the Employee Handbook,TRUE,High,Day 1,HANDBOOK-01,1.1,Policy Awareness,Signed acknowledgment form
R002,All Roles,Company-wide,Understand standard work hours and mandatory core hours,TRUE,High,Day 1,HANDBOOK-01,2.1,Policy Awareness,Manager confirmation
R003,All Roles,Company-wide,Complete Workplace Conduct training,TRUE,High,First 30 Days,POL-04,1.1,Conduct Compliance,Training completion certificate
R004,All Roles,Company-wide,Understand harassment and discrimination policy,TRUE,High,Week 1,POL-04,1.2,Conduct Compliance,Quiz pass ≥80%
R005,All Roles,Company-wide,Know how to report a conduct violation,TRUE,Medium,Week 1,POL-04,2.1,Conduct Compliance,Verbal confirmation in 1:1
R006,All Roles,Company-wide,Be aware of the anonymous ethics hotline option,FALSE,Low,First 30 Days,POL-04,2.2,Conduct Compliance,None
R007,All Roles,Company-wide,Understand vacation accrual policy,FALSE,Medium,Week 1,POL-02,1.1,Benefits Literacy,None
R008,All Roles,Company-wide,Understand sick leave policy and notification process,TRUE,Medium,Week 1,POL-02,2.1,Benefits Literacy,Manager confirmation
R009,All Roles,Company-wide,Understand parental leave eligibility,FALSE,Low,First 90 Days,POL-02,4.1,Benefits Literacy,None
R010,All Roles,Company-wide,Complete 90-day probationary review with manager,TRUE,High,First 90 Days,POL-01,3.1,Performance Readiness,Signed review form
R011,All Roles,Company-wide,Understand remote work request process,FALSE,Low,First 30 Days,POL-01,4.1,Policy Awareness,None
R012,All Roles,Company-wide,Understand definition of confidential employee data,TRUE,Medium,Week 1,POL-01,5.1,Confidentiality,Quiz pass ≥80%
R013,All Roles,Company-wide,Know the compliance escalation reporting path,TRUE,Medium,Week 2,COMP-01,1.1,Compliance Awareness,Verbal confirmation in 1:1
R014,All Roles,Company-wide,Be aware of the anonymous compliance hotline,FALSE,Low,First 30 Days,COMP-01,2.1,Compliance Awareness,None
R015,All Roles,Company-wide,Complete new-hire onboarding checklist items,TRUE,High,Week 1,FAQ-01,1.3,Onboarding,Checklist sign-off
R016,All Roles,Company-wide,Schedule a welcome chat with immediate team,FALSE,Low,Week 1,FAQ-01,1.2,Team Integration,None
R017,All Roles,Company-wide,Review bereavement leave provisions,FALSE,Low,First 90 Days,POL-02,3.1,Benefits Literacy,None
R018,All Roles,Company-wide,Understand consequences of confirmed conduct violations,TRUE,Medium,First 30 Days,POL-04,4.1,Conduct Compliance,Quiz pass ≥80%
R019,All Roles,Company-wide,Understand employee records confidentiality expectations,FALSE,Low,First 30 Days,POL-01,2.1,Confidentiality,None
R020,All Roles,Company-wide,Understand standard company holidays and business-day definitions,FALSE,Low,Week 1,SOP-02,3.1,Policy Awareness,None
